Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3])
2060, 0, 15.6177, 0.00209091, 0.00125086, 0.000647884, 0.00116313
2070, 0, 15.6901, 0.00289781, 0.00165473, 0.000980539, 0.00115994
2080, 0, 15.7525, 0.00184135, 0.00126936, 0.00063629, 0.00083949
2090, 0, 15.8159, 0.00348583, 0.00228921, 0.000986065, 0.00147685
2100, 0, 15.888, 0.00245687, 0.00181998, 0.000959248, 0.000919464
2110, 0, 15.9533, 0.00235168, 0.00154441, 0.000897361, 0.000962335
2120, 0, 16.023, 0.00253823, 0.00157574, 0.000853, 0.00105218
2130, 0, 16.1091, 0.00234741, 0.00145329, 0.000729686, 0.00113314
2140, 0, 16.2013, 0.00208524, 0.00100001, 0.000555198, 0.00118389
2150, 0, 16.2784, 0.00194152, 0.000847632, 0.000521513, 0.00127262
2160, 0, 16.3396, 0.00191964, 0.000733393, 0.000530839, 0.00131227
2170, 0, 16.402, 0.00595598, 0.00213972, 0.0017388, 0.00206315
2180, 0, 16.4696, 0.00297512, 0.00191681, 0.000787694, 0.0012837
2190, 0, 16.5307, 0.00269856, 0.00164578, 0.000764732, 0.00131092
2200, 0, 16.6133, 0.00300503, 0.0018176, 0.000831653, 0.00120694
2210, 0, 16.7123, 0.00268367, 0.00157664, 0.000848189, 0.00118893
2220, 0, 16.7903, 0.00245984, 0.00125625, 0.000769515, 0.00117586
2230, 0, 16.8923, 0.00246114, 0.00156035, 0.000951296, 0.000991938
2240, 0, 16.9912, 0.00208265, 0.00133999, 0.000832428, 0.000889839
2250, 0, 17.1278, 0.00221196, 0.00160616, 0.000837925, 0.000987427
2260, 0, 17.2314, 0.00197249, 0.00159313, 0.00067919, 0.000750989
2270, 0, 17.3178, 0.00151372, 0.00118159, 0.000546763, 0.000663938
2280, 0, 17.395, 0.00120573, 0.000885122, 0.000434409, 0.000584079
2290, 0, 17.4722, 0.0011058, 0.000758665, 0.000404722, 0.00050453
2300, 0, 17.552, 0.00108526, 0.000745786, 0.000365569, 0.000430822
2310, 0, 17.6263, 0.000791309, 0.000550957, 0.000309406, 0.000387256
2320, 0, 17.6976, 0.000680479, 0.000408312, 0.000251816, 0.000356789
2330, 0, 17.7667, 0.000928418, 0.00032441, 0.000241624, 0.000428476
2340, 0, 17.8454, 0.000825757, 0.000668152, 0.000344866, 0.000348803
2350, 0, 17.9445, 0.000703975, 0.000545686, 0.000278533, 0.000331289
2360, 0, 18.0219, 0.000681609, 0.00048822, 0.000288214, 0.000310397
2370, 0, 18.1239, 0.00074527, 0.000518534, 0.000273556, 0.000316241
2380, 0, 18.2236, 0.000826419, 0.000629045, 0.000257883, 0.000359213
2390, 0, 18.3175, 0.000707475, 0.00046295, 0.000174987, 0.000385814
2400, 0, 18.4094, 0.00057973, 0.000341545, 0.000153271, 0.000405275
2410, 0, 18.496, 0.000619459, 0.00029455, 0.000159042, 0.000422597
2420, 0, 18.5599, 0.000653285, 0.000286289, 0.00018608, 0.00042883
2430, 0, 18.6238, 0.000658059, 0.000256859, 0.000193642, 0.000430107
2440, 0, 18.7013, 0.000669813, 0.000221254, 0.000191215, 0.000429921
2450, 0, 18.7804, 0.000677283, 0.000202513, 0.000182969, 0.000429452
2460, 0, 18.8458, 0.000686698, 0.000192757, 0.000180037, 0.000426777
2470, 0, 18.9084, 0.000693517, 0.000191138, 0.000173133, 0.000424443
2480, 0, 18.9703, 0.000678353, 0.0001832, 0.000166812, 0.000425103
2490, 0, 19.0417, 0.000674025, 0.000173179, 0.000160086, 0.000419965
2500, 0, 19.1265, 0.000645795, 0.000164203, 0.000156963, 0.000404204
2510, 0, 19.2261, 0.000634896, 0.000185306, 0.000162534, 0.000399405
2520, 0, 19.2975, 0.000753138, 0.000300666, 0.000220901, 0.000443465
2530, 0, 19.3609, 0.000710881, 0.000311946, 0.000223043, 0.000394054
2540, 0, 19.4472, 0.000893395, 0.000467237, 0.000279773, 0.000354124
2550, 0, 19.522, 0.000762707, 0.000370864, 0.000234641, 0.000330226
