Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3]), R(q[4])
2980, 0.650694, 9.14384, 0.0145431, 0.00395698, 0.000159731, 0.00866483, 1.43895e-05
3000, 0.655061, 9.20808, 0.0144335, 0.00392844, 0.000159313, 0.00859434, 1.38523e-05
3020, 0.659428, 9.27698, 0.014331, 0.0039003, 0.000158705, 0.00853091, 1.33359e-05
3040, 0.663795, 9.34006, 0.014234, 0.00387254, 0.000157278, 0.00847261, 1.28397e-05
3060, 0.668162, 9.40624, 0.014141, 0.00384515, 0.000155232, 0.00841679, 1.23631e-05
3080, 0.672529, 9.46866, 0.0140493, 0.00381811, 0.000153189, 0.00836038, 1.19052e-05
3100, 0.676896, 9.53498, 0.0139571, 0.0037914, 0.0001512, 0.00830153, 1.14649e-05
3120, 0.681263, 9.59957, 0.0138631, 0.00376502, 0.00014921, 0.0082397, 1.1041e-05
3140, 0.68563, 9.65659, 0.0137682, 0.00373896, 0.000147418, 0.00817626, 1.06326e-05
3160, 0.689997, 9.71891, 0.0136707, 0.00371322, 0.00014583, 0.00811113, 1.02387e-05
3180, 0.694364, 9.78242, 0.0135722, 0.00368779, 0.000144613, 0.00804555, 9.85842e-06
3200, 0.698731, 9.84287, 0.0134739, 0.00366268, 0.000143686, 0.00798116, 9.49158e-06
3220, 0.703098, 9.90458, 0.0133783, 0.00363789, 0.000143033, 0.00791982, 9.13823e-06
3240, 0.707465, 9.96526, 0.0132862, 0.00361342, 0.0001426, 0.00786193, 8.7985e-06
3260, 0.711832, 10.0254, 0.0131993, 0.00358926, 0.00014179, 0.00780798, 8.47242e-06
3280, 0.716199, 10.0862, 0.0131164, 0.0035654, 0.000140546, 0.00775713, 8.15964e-06
3300, 0.720566, 10.1381, 0.0130368, 0.00354184, 0.000139099, 0.00770814, 7.85958e-06
3320, 0.724933, 10.2018, 0.0129579, 0.00351856, 0.000137519, 0.00765872, 7.57133e-06
3340, 0.7293, 10.2677, 0.0128776, 0.00349554, 0.000135937, 0.0076071, 7.29378e-06
3360, 0.733667, 10.3304, 0.0127946, 0.00347278, 0.000134666, 0.00755273, 7.02603e-06
3380, 0.738034, 10.3939, 0.0127094, 0.00345027, 0.00013381, 0.00749623, 6.76756e-06
3400, 0.742401, 10.4591, 0.0126232, 0.00342802, 0.00013299, 0.00743902, 6.51815e-06
3420, 0.746769, 10.5242, 0.0125378, 0.00340604, 0.00013226, 0.00738299, 6.27783e-06
3440, 0.751136, 10.5904, 0.0124552, 0.00338432, 0.000131597, 0.00732991, 6.04675e-06
3460, 0.755503, 10.6455, 0.0123764, 0.00336286, 0.000130819, 0.00728035, 5.82496e-06
3480, 0.75987, 10.7096, 0.0123011, 0.00334166, 0.000129902, 0.00723383, 5.61227e-06
3500, 0.764237, 10.7734, 0.0122289, 0.00332071, 0.000128897, 0.0071893, 5.40825e-06
3520, 0.768604, 10.8257, 0.0121574, 0.00329999, 0.000127821, 0.00714471, 5.21227e-06
3540, 0.772971, 10.8887, 0.0120854, 0.0032795, 0.000126694, 0.00709903, 5.02386e-06
3560, 0.777338, 10.9528, 0.0120128, 0.00325924, 0.000125609, 0.00705232, 4.84251e-06
3580, 0.781705, 11.0172, 0.0119397, 0.00323919, 0.000124672, 0.00700479, 4.6678e-06
3600, 0.786072, 11.0819, 0.0118656, 0.00321937, 0.000123764, 0.00695649, 4.49935e-06
3620, 0.790439, 11.1475, 0.0117918, 0.00319976, 0.000123029, 0.00690853, 4.33707e-06
3640, 0.794806, 11.2137, 0.011719, 0.00318036, 0.000122431, 0.0068617, 4.18089e-06
3660, 0.799173, 11.277, 0.0116476, 0.00316119, 0.000121821, 0.00681631, 4.03074e-06
3680, 0.80354, 11.3436, 0.011578, 0.00314222, 0.000121178, 0.00677248, 3.88658e-06
3700, 0.807907, 11.4105, 0.0115106, 0.00312347, 0.000120444, 0.00673019, 3.74833e-06
3720, 0.812274, 11.4752, 0.0114446, 0.00310492, 0.000119561, 0.00668885, 3.61579e-06
3740, 0.816641, 11.529, 0.0113798, 0.00308657, 0.000118589, 0.00664808, 3.48869e-06
3760, 0.821008, 11.5938, 0.0113155, 0.00306842, 0.00011762, 0.0066074, 3.36673e-06
3780, 0.825375, 11.6492, 0.0112519, 0.00305045, 0.000116693, 0.00656668, 3.2495e-06
3800, 0.829742, 11.7152, 0.0111877, 0.00303267, 0.000115808, 0.00652535, 3.13657e-06
3820, 0.83411, 11.7781, 0.011123, 0.00301507, 0.000115017, 0.0064836, 3.02769e-06
3840, 0.838477, 11.8307, 0.0110586, 0.00299766, 0.000114408, 0.00644209, 2.92284e-06
3860, 0.842844, 11.8824, 0.0109947, 0.00298043, 0.000113868, 0.0064011, 2.82195e-06
3880, 0.847211, 11.948, 0.0109316, 0.00296337, 0.000113304, 0.00636093, 2.72502e-06
3900, 0.851578, 12.0148, 0.01087, 0.0029465, 0.000112709, 0.00632206, 2.63211e-06
3920, 0.855945, 12.0815, 0.0108103, 0.0029298, 0.000112065, 0.00628451, 2.54313e-06
3940, 0.860312, 12.1461, 0.0107515, 0.00291328, 0.000111328, 0.00624763, 2.4579e-06
3960, 0.864679, 12.2097, 0.0106935, 0.00289692, 0.000110469, 0.00621095, 2.37621e-06
3980, 0.869046, 12.2765, 0.0106357, 0.00288073, 0.000109588, 0.0061743, 2.29784e-06
4000, 0.873413, 12.3424, 0.0105782, 0.00286469, 0.000108831, 0.00613767, 2.22258e-06
4020, 0.87778, 12.4098, 0.0105205, 0.00284882, 0.000108112, 0.00610078, 2.15024e-06
4040, 0.882147, 12.4794, 0.010463, 0.0028331, 0.000107421, 0.00606395, 2.08066e-06
4060, 0.886514, 12.5399, 0.0104059, 0.00281754, 0.000106842, 0.00602752, 2.01375e-06
4080, 0.890881, 12.6002, 0.0103492, 0.00280213, 0.000106298, 0.00599152, 1.94948e-06
4100, 0.895248, 12.661, 0.0102934, 0.00278687, 0.000105791, 0.00595624, 1.88786e-06
4120, 0.899616, 12.7251, 0.0102389, 0.00277177, 0.000105255, 0.00592189, 1.82886e-06
4140, 0.903983, 12.7907, 0.0101852, 0.00275681, 0.000104648, 0.0058881, 1.77237e-06
4160, 0.90835, 12.8499, 0.0101322, 0.002742, 0.000104005, 0.0058547, 1.71831e-06
4180, 0.912717, 12.9145, 0.01008, 0.00272733, 0.000103329, 0.00582173, 1.66658e-06
4200, 0.917084, 12.977, 0.0100282, 0.0027128, 0.000102671, 0.00578893, 1.61699e-06
4220, 0.921451, 13.0417, 0.00997664, 0.00269841, 0.000102056, 0.00575605, 1.56937e-06
4240, 0.925818, 13.106, 0.00992507, 0.00268416, 0.000101474, 0.00572312, 1.52363e-06
4260, 0.930185, 13.1695, 0.00987376, 0.00267003, 0.000100924, 0.00569037, 1.47969e-06
4280, 0.934552, 13.2352, 0.00982266, 0.00265605, 0.000100437, 0.00565782, 1.43752e-06
4300, 0.938919, 13.2989, 0.00977206, 0.00264219, 9.99548e-05, 0.00562572, 1.39711e-06
4320, 0.943286, 13.3674, 0.00972231, 0.00262846, 9.94528e-05, 0.00559424, 1.35847e-06
4340, 0.947653, 13.4265, 0.0096732, 0.00261486, 9.89321e-05, 0.00556328, 1.32154e-06
4360, 0.952021, 13.4925, 0.00962473, 0.00260139, 9.8368e-05, 0.00553273, 1.28629e-06
4380, 0.956388, 13.5556, 0.00957704, 0.00258805, 9.78046e-05, 0.00550268, 1.25269e-06
4400, 0.960755, 13.6209, 0.00952996, 0.00257482, 9.72644e-05, 0.00547296, 1.22067e-06
4420, 0.965122, 13.6869, 0.00948303, 0.00256172, 9.67006e-05, 0.00544323, 1.19006e-06
4440, 0.969489, 13.7519, 0.00943641, 0.00254874, 9.61468e-05, 0.00541363, 1.16077e-06
4460, 0.973856, 13.8161, 0.00938989, 0.00253587, 9.564e-05, 0.00538409, 1.1327e-06
4480, 0.978223, 13.8772, 0.00934357, 0.00252312, 9.51696e-05, 0.00535471, 1.10578e-06
4500, 0.98259, 13.942, 0.00929777, 0.00251048, 9.47229e-05, 0.00532565, 1.07997e-06
4520, 0.986957, 14.0049, 0.00925235, 0.00249795, 9.4302e-05, 0.00529697, 1.05524e-06
4540, 0.991324, 14.0599, 0.00920738, 0.00248554, 9.38917e-05, 0.00526869, 1.03163e-06
4560, 0.995692, 14.1238, 0.00916302, 0.00247324, 9.34736e-05, 0.00524085, 1.00911e-06
4580, 1.00006, 14.1876, 0.0091193, 0.00246105, 9.30329e-05, 0.00521342, 9.87705e-07
4600, 1.00443, 14.2397, 0.00907599, 0.00244897, 9.25331e-05, 0.00518622, 9.67323e-07
4620, 1.00879, 14.3065, 0.00903304, 0.00243699, 9.19814e-05, 0.0051591, 9.47872e-07
4640, 1.01316, 14.3718, 0.00899048, 0.00242511, 9.14385e-05, 0.00513215, 9.29301e-07
4660, 1.01753, 14.4387, 0.00894824, 0.00241334, 9.09052e-05, 0.00510534, 9.11545e-07
4680, 1.02189, 14.505, 0.00890618, 0.00240167, 9.03862e-05, 0.00507866, 8.94527e-07
4700, 1.02626, 14.5722, 0.00886455, 0.0023901, 8.99329e-05, 0.00505231, 8.78214e-07
4720, 1.03063, 14.6369, 0.00882312, 0.00237863, 8.95192e-05, 0.00502619, 8.62569e-07
4740, 1.035, 14.7011, 0.00878197, 0.00236726, 8.9128e-05, 0.00500026, 8.47591e-07
4760, 1.03936, 14.7622, 0.00874127, 0.00235599, 8.87465e-05, 0.00497469, 8.33302e-07
4780, 1.04373, 14.8262, 0.00870107, 0.00234481, 8.83264e-05, 0.00494944, 8.19684e-07
4800, 1.0481, 14.8918, 0.00866122, 0.00233372, 8.78822e-05, 0.00492442, 8.06724e-07
4820, 1.05246, 14.9565, 0.00862189, 0.00232273, 8.73966e-05, 0.00489968, 7.94387e-07
4840, 1.05683, 15.0224, 0.00858288, 0.00231183, 8.68793e-05, 0.00487514, 7.82581e-07
4860, 1.0612, 15.0859, 0.00854433, 0.00230103, 8.63686e-05, 0.00485079, 7.71254e-07
4880, 1.06557, 15.146, 0.00850592, 0.00229031, 8.58641e-05, 0.00482655, 7.60361e-07
4900, 1.06993, 15.2102, 0.00846775, 0.00227968, 8.5386e-05, 0.00480242, 7.49879e-07
4920, 1.0743, 15.2761, 0.00842982, 0.00226914, 8.49706e-05, 0.00477848, 7.39826e-07
4940, 1.07867, 15.3313, 0.0083922, 0.00225868, 8.45704e-05, 0.00475474, 7.30205e-07
4960, 1.08303, 15.3983, 0.00835474, 0.00224832, 8.41796e-05, 0.00473118, 7.20989e-07
4980, 1.0874, 15.4658, 0.0083176, 0.00223803, 8.37986e-05, 0.0047079, 7.12174e-07
5000, 1.09177, 15.5199, 0.00828096, 0.00222783, 8.34091e-05, 0.00468495, 7.03735e-07
5020, 1.09614, 15.5874, 0.00824458, 0.00221771, 8.30116e-05, 0.00466217, 6.95656e-07
5040, 1.1005, 15.6486, 0.00820858, 0.00220768, 8.25948e-05, 0.00463962, 6.87923e-07
5060, 1.10487, 15.713, 0.00817302, 0.00219772, 8.21627e-05, 0.00461733, 6.80507e-07
5080, 1.10924, 15.7735, 0.00813769, 0.00218785, 8.17328e-05, 0.00459515, 6.73383e-07
5100, 1.1136, 15.833, 0.00810253, 0.00217805, 8.13005e-05, 0.00457303, 6.66528e-07
5120, 1.11797, 15.8925, 0.0080676, 0.00216833, 8.08713e-05, 0.00455106, 6.59919e-07
5140, 1.12234, 15.9538, 0.00803298, 0.00215869, 8.0463e-05, 0.00452929, 6.53544e-07
5160, 1.12671, 16.0163, 0.00799853, 0.00214913, 8.00841e-05, 0.00450765, 6.47398e-07
5180, 1.13107, 16.0794, 0.00796434, 0.00213964, 7.97171e-05, 0.00448621, 6.41473e-07
5200, 1.13544, 16.1442, 0.00793049, 0.00213022, 7.93672e-05, 0.00446501, 6.35772e-07
5220, 1.13981, 16.2101, 0.00789696, 0.00212088, 7.90201e-05, 0.00444402, 6.30299e-07
5240, 1.14417, 16.2732, 0.00786372, 0.00211161, 7.86551e-05, 0.00442321, 6.2504e-07
5260, 1.14854, 16.3382, 0.0078308, 0.00210241, 7.82777e-05, 0.0044026, 6.19981e-07
5280, 1.15291, 16.4032, 0.00779819, 0.00209328, 7.78902e-05, 0.00438215, 6.15107e-07
5300, 1.15728, 16.4629, 0.00776585, 0.00208423, 7.74955e-05, 0.00436185, 6.10383e-07
5320, 1.16164, 16.5272, 0.00773375, 0.00207524, 7.7113e-05, 0.00434175, 6.05798e-07
5340, 1.16601, 16.5879, 0.00770188, 0.00206632, 7.67531e-05, 0.00432178, 6.01327e-07
5360, 1.17038, 16.6447, 0.00767013, 0.00205747, 7.6405e-05, 0.00430187, 5.96971e-07
5380, 1.17474, 16.7105, 0.00763859, 0.00204869, 7.60696e-05, 0.00428211, 5.92739e-07
