Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,p,rank,rho,rhoe,rhou,rhov,vtkValidPointMask
848,0.8000000119,0.06360000372,0,0.8025241494,0.2062298954,0.001285855891,0,0.2062339038,0.06360000372,1.000284314,4,1.400283337,2.530488968,0.2887800038,0.001800784376,1
849,0.8000000119,0.06367500126,0,0.8025300503,0.2062282413,0.00128539349,0,0.2062322497,0.06367500126,1.000284314,4,1.400283337,2.530488491,0.2887776792,0.001800139667,1
850,0.8000000119,0.06374999881,0,0.8025360107,0.2062265426,0.001284933533,0,0.206230551,0.06374999881,1.000284433,4,1.400283337,2.530488014,0.288775295,0.001799496473,1
851,0.8000000119,0.0638250038,0,0.8025419712,0.2062247545,0.001284477999,0,0.206228748,0.0638250038,1.000284433,4,1.400283337,2.530487776,0.2887728214,0.001798855723,1
852,0.8000000119,0.06390000135,0,0.8025479317,0.2062229663,0.001284022466,0,0.2062269598,0.06390000135,1.000284433,4,1.400283456,2.530487299,0.2887703478,0.001798214973,1
853,0.8000000119,0.06397499889,0,0.8025539517,0.2062211931,0.001283566933,0,0.2062251866,0.06397499889,1.000284433,4,1.400283456,2.530486822,0.2887678444,0.001797574339,1
854,0.8000000119,0.06405000389,0,0.8025599122,0.2062194049,0.0012831114,0,0.2062233984,0.06405000389,1.000284553,4,1.400283456,2.530486345,0.2887653708,0.001796933473,1
855,0.8000000119,0.06412500143,0,0.8025659323,0.2062176168,0.001282655867,0,0.2062216103,0.06412500143,1.000284553,4,1.400283575,2.530485868,0.2887628675,0.00179629284,1
856,0.8000000119,0.06419999897,0,0.8025718927,0.2062158436,0.001282200334,0,0.2062198371,0.06419999897,1.000284553,4,1.400283575,2.53048563,0.2887603939,0.00179565209,1
857,0.8000000119,0.06427500397,0,0.8025779128,0.2062140554,0.001281744684,0,0.206218034,0.06427500397,1.000284553,4,1.400283575,2.530485153,0.2887579203,0.00179501134,1
858,0.8000000119,0.06435000151,0,0.8025839329,0.2062122673,0.001281289151,0,0.2062162459,0.06435000151,1.000284672,4,1.400283575,2.530484676,0.2887554169,0.00179437059,1
859,0.8000000119,0.06442499906,0,0.8025899529,0.2062104791,0.001280833618,0,0.2062144578,0.06442499906,1.000284672,4,1.400283694,2.5304842,0.2887529433,0.00179372984,1
860,0.8000000119,0.06450000405,0,0.802595973,0.2062087059,0.001280378085,0,0.2062126845,0.06450000405,1.000284672,4,1.400283694,2.530483723,0.2887504399,0.00179308909,1
861,0.8000000119,0.0645750016,0,0.8026019931,0.2062069178,0.001279922551,0,0.2062108964,0.0645750016,1.000284791,4,1.400283694,2.530483484,0.2887479663,0.00179244834,1
862,0.8000000119,0.06464999914,0,0.8026080132,0.2062051296,0.001279467018,0,0.2062090933,0.06464999914,1.000284791,4,1.400283813,2.530483007,0.2887454629,0.001791807706,1
863,0.8000000119,0.06472500414,0,0.8026140928,0.2062033564,0.001279011485,0,0.2062073201,0.06472500414,1.000284791,4,1.400283813,2.530482531,0.2887429893,0.00179116684,1
864,0.8000000119,0.06480000168,0,0.8026201129,0.2062015682,0.001278555952,0,0.206205532,0.06480000168,1.000284791,4,1.400283813,2.530482054,0.2887405157,0.001790526207,1
865,0.8000000119,0.06487499923,0,0.8026261926,0.2061997801,0.001278100419,0,0.2062037438,0.06487499923,1.00028491,4,1.400283813,2.530481577,0.2887380123,0.001789885457,1
866,0.8000000119,0.06495000422,0,0.8026322722,0.2061980069,0.001277644769,0,0.2062019706,0.06495000422,1.00028491,4,1.400283933,2.530481339,0.2887355387,0.001789244707,1
867,0.8000000119,0.06502500176,0,0.8026382923,0.2061962187,0.001277189353,0,0.2062001675,0.06502500176,1.00028491,4,1.400283933,2.530480862,0.2887330353,0.001788603957,1
868,0.8000000119,0.06509999931,0,0.802644372,0.2061944306,0.001276733819,0,0.2061983794,0.06509999931,1.00028491,4,1.400283933,2.530480385,0.2887305617,0.001787963207,1
869,0.8000000119,0.0651750043,0,0.8026505113,0.2061926574,0.00127627817,0,0.2061966062,0.0651750043,1.000285029,4,1.400283933,2.530479908,0.2887280583,0.001787322457,1
870,0.8000000119,0.06525000185,0,0.8026565909,0.2061908692,0.001275822637,0,0.206194818,0.06525000185,1.000285029,4,1.400284052,2.530479431,0.2887255847,0.001786681707,1
871,0.8000000119,0.06532499939,0,0.8026626706,0.2061890811,0.001275367104,0,0.2061930299,0.06532499939,1.000285029,4,1.400284052,2.530479193,0.2887231112,0.001786040957,1
872,0.8000000119,0.06540000439,0,0.8026688099,0.2061873078,0.00127491157,0,0.2061912566,0.06540000439,1.000285149,4,1.400284052,2.530478716,0.2887206078,0.001785400207,1
873,0.8000000119,0.06547500193,0,0.8026748896,0.2061855197,0.001274456037,0,0.2061894536,0.06547500193,1.000285149,4,1.400284171,2.530478239,0.2887181342,0.001784759457,1
874,0.8000000119,0.06554999948,0,0.8026810288,0.2061837316,0.001274000504,0,0.2061876655,0.06554999948,1.000285149,4,1.400284171,2.530477762,0.2887156308,0.001784118824,1
875,0.8000000119,0.06562500447,0,0.8026871681,0.2061819434,0.001273544971,0,0.2061858773,0.06562500447,1.000285149,4,1.400284171,2.530477285,0.2887131572,0.001783478074,1
876,0.8000000119,0.06570000201,0,0.8026933074,0.2061801702,0.001273089438,0,0.2061841041,0.06570000201,1.000285268,4,1.400284171,2.530477047,0.2887106538,0.001782837324,1
877,0.8000000119,0.06577499956,0,0.8026994467,0.206178382,0.001272633905,0,0.2061823159,0.06577499956,1.000285268,4,1.40028429,2.53047657,0.2887081802,0.001782196574,1
878,0.8000000119,0.06585000455,0,0.802705586,0.2061765939,0.001272178255,0,0.2061805129,0.06585000455,1.000285268,4,1.40028429,2.530476093,0.2887057066,0.001781555824,1
879,0.8000000119,0.0659250021,0,0.8027117252,0.2061748207,0.001271722722,0,0.2061787397,0.0659250021,1.000285268,4,1.40028429,2.530475616,0.2887032032,0.001780915074,1
880,0.8000000119,0.06599999964,0,0.8027179241,0.2061730325,0.001271267189,0,0.2061769515,0.06599999964,1.000285387,4,1.40028429,2.530475378,0.2887007296,0.001780274324,1
881,0.8000000119,0.06607500464,0,0.8027240634,0.2061712444,0.001270811656,0,0.2061751634,0.06607500464,1.000285387,4,1.40028441,2.530474901,0.2886982262,0.001779633574,1
882,0.8000000119,0.06615000218,0,0.8027302623,0.2061694711,0.001270356122,0,0.2061733902,0.06615000218,1.000285387,4,1.40028441,2.530474424,0.2886957526,0.001778992824,1
883,0.8000000119,0.06622499973,0,0.8027364016,0.206167683,0.001269900589,0,0.2061715871,0.06622499973,1.000285506,4,1.40028441,2.530473948,0.2886932492,0.001778352191,1
884,0.8000000119,0.06630000472,0,0.8027426004,0.2061658949,0.001269445056,0,0.206169799,0.06630000472,1.000285506,4,1.400284529,2.530473471,0.2886907756,0.001777711324,1
885,0.8000000119,0.06637500226,0,0.8027487993,0.2061641216,0.001268989523,0,0.2061680257,0.06637500226,1.000285506,4,1.400284529,2.530473232,0.288688302,0.001777070691,1
886,0.8000000119,0.06644999981,0,0.8027549982,0.2061623335,0.00126853399,0,0.2061662376,0.06644999981,1.000285506,4,1.400284529,2.530472755,0.2886857986,0.001776429941,1
887,0.8000000119,0.0665250048,0,0.8027612567,0.2061605453,0.00126807834,0,0.2061644495,0.0665250048,1.000285625,4,1.400284529,2.530472279,0.2886833251,0.001775789191,1
888,0.8000000119,0.06660000235,0,0.8027674556,0.2061587572,0.001267622807,0,0.2061626613,0.06660000235,1.000285625,4,1.400284648,2.530471802,0.2886808217,0.001775148441,1
889,0.8000000119,0.06667499989,0,0.8027736545,0.206156984,0.001267167274,0,0.2061608732,0.06667499989,1.000285625,4,1.400284648,2.530471325,0.2886783481,0.001774507691,1
890,0.8000000119,0.06675000489,0,0.8027799129,0.2061551958,0.001266711741,0,0.206159085,0.06675000489,1.000285625,4,1.400284648,2.530471087,0.2886758745,0.001773866941,1
891,0.8000000119,0.06682500243,0,0.8027861714,0.2061534077,0.001266256208,0,0.2061572969,0.06682500243,1.000285745,4,1.400284767,2.53047061,0.2886733711,0.001773226191,1
892,0.8000000119,0.06689999998,0,0.8027923703,0.2061516345,0.001265800674,0,0.2061555237,0.06689999998,1.000285745,4,1.400284767,2.530470133,0.2886708975,0.001772585558,1
893,0.8000000119,0.06697500497,0,0.8027986288,0.2061498463,0.001265345141,0,0.2061537355,0.06697500497,1.000285745,4,1.400284767,2.530469656,0.2886683941,0.001771944691,1
894,0.8000000119,0.06705000252,0,0.8028048873,0.2061480582,0.001264889608,0,0.2061519325,0.06705000252,1.000285864,4,1.400284767,2.530469179,0.2886659205,0.001771304058,1
895,0.8000000119,0.06712500006,0,0.8028112054,0.2061462849,0.001264434075,0,0.2061501592,0.06712500006,1.000285864,4,1.400284886,2.530468941,0.2886634171,0.001770663308,1
896,0.8000000119,0.06720000505,0,0.8028174639,0.2061444968,0.001263978425,0,0.2061483711,0.06720000505,1.000285864,4,1.400284886,2.530468464,0.2886609435,0.001770022558,1
897,0.8000000119,0.0672750026,0,0.8028237224,0.2061427087,0.001263522892,0,0.206146583,0.0672750026,1.000285864,4,1.400284886,2.530467987,0.2886584699,0.001769381808,1
898,0.8000000119,0.06735000014,0,0.8028300405,0.2061409354,0.001263067359,0,0.2061448097,0.06735000014,1.000285983,4,1.400284886,2.53046751,0.2886559665,0.001768741058,1
899,0.8000000119,0.06742500514,0,0.8028362989,0.2061391473,0.001262611826,0,0.2061430067,0.06742500514,1.000285983,4,1.400285006,2.530467033,0.2886534929,0.001768100308,1
900,0.8000000119,0.06750000268,0,0.802842617,0.2061373591,0.001262156293,0,0.2061412185,0.06750000268,1.000285983,4,1.400285006,2.530466795,0.2886509895,0.001767459558,1
901,0.8000000119,0.06757500023,0,0.8028489351,0.2061355859,0.00126170076,0,0.2061394453,0.06757500023,1.000285983,4,1.400285006,2.530466318,0.2886485159,0.001766818925,1
902,0.8000000119,0.06765000522,0,0.8028552532,0.2061337978,0.001261245226,0,0.2061376572,0.06765000522,1.000286102,4,1.400285125,2.530465841,0.2886460125,0.001766178058,1
903,0.8000000119,0.06772500277,0,0.8028615713,0.2061320096,0.001260789693,0,0.206135869,0.06772500277,1.000286102,4,1.400285125,2.530465364,0.288643539,0.001765537425,1
904,0.8000000119,0.06780000031,0,0.8028678894,0.2061302215,0.00126033416,0,0.2061340809,0.06780000031,1.000286102,4,1.400285125,2.530464888,0.2886410654,0.001764896675,1
905,0.8000000119,0.0678750053,0,0.8028742075,0.2061284482,0.001259878511,0,0.2061322927,0.0678750053,1.000286222,4,1.400285125,2.530464649,0.288638562,0.001764255925,1
906,0.8000000119,0.06795000285,0,0.8028805852,0.2061266601,0.001259422977,0,0.2061305046,0.06795000285,1.000286222,4,1.400285244,2.530464172,0.2886360884,0.001763615175,1
